response_id,survey_date,last_tool_used,age,age_group_self_reported,occupation,employment_status,prior_education,annual_income_usd,income_range_self_reported,favorite_color,region,urbanicity,household_size,daily_task,primary_ai_use_case,last_prompt,ai_feedback_comment,sentiment_label_self_reported,preferred_device,subscription_status,usage_frequency,monthly_ai_budget_usd,trust_level,privacy_concern,decision_stage,info_source,adoption_motivation,likelihood_to_recommend,satisfaction_score,age_group,income_group,high_value_user,likely_to_pay,feedback_sentiment,tool_group,trust_score_num,privacy_score_num
R100192,2026-05-15,ChatGPT/OpenAI,51.0,45-54,Sales Associate,Full-time,Bachelor's degree,31000.0,$25k-$49k,Purple,Midwest,Rural,2.0,Coding,Productivity,Make this spreadsheet easier to understand.," I like it for ideas, but privacy still bothers me. ",Mixed,Laptop,Paid work/school,A few times a week,,Moderate,Moderate,Problem recognition,Employer,Automate routine work,6.0,3.0,45-54,Under $40K,Yes,No,Mixed,ChatGPT/OpenAI,3.0,2.0
R100193,2026-03-07,ChatGPT/OpenAI,44.0,35-44,Retail Manager,Freelance,Master's degree,102000.0,$100k-$149k,Gray,Midwest,Suburban,1.0,Travel planning,Productivity,Suggest questions to ask before buying a used car.,It made my work look more polished.,Positive,Smartphone,Trial,A few times a week,9.0,High,Moderate,Postpurchase behavior,Social media,Reduce stress,10.0,4.0,35-44,$100K-$149K,No,No,Positive,ChatGPT/OpenAI,4.0,2.0
R100194,2026-03-17,ChatGPT/OpenAI,22.0,18-24,Lawyer,Full-time,Doctorate,48000.0,$25k-$49k,RED,South,Urban,3.0,customer service replies,Education,Debug this Python error and explain what happened.,"Great assistant, terrible source checker.",Mixed,Laptop,Paid individual,Daily,102.0,Very low,Moderate,Evaluation of alternatives,Professor/teacher,Compare options,7.0,4.0,18-24,$40K-$74K,Yes,No,Mixed,ChatGPT/OpenAI,1.0,2.0
R100195,2026-02-21,ChatGPT/OpenAI,39.0,adult,Data Analyst,Freelance,Bachelor's degree,124000.0,$100k-$149k,Red,South,Urban,2.0,Creating lesson plans,Productivity,"What should I cook with chicken, rice, and spinach?","The tool is impressive, but I still need a human review.",Mixed,Desktop,Free,Daily,0.0,Very high,High,Problem recognition,Ad,write better,10.0,5.0,35-44,$100K-$149K,No,No,Mixed,ChatGPT/OpenAI,5.0,3.0
R100196,"Feb 12, 2026",ChatGPT/OpenAI,68.0,65+,Freelancer,Full-time,Trade/Certificate,41000.0,$25k-$49k,Blue,South,Rural,2.0,Presentation design,Personal organization,Summarize this article in plain English.,the bias in the answer was obvious and frustrating.,Ugly,Smartphone,Not sure,Daily,0.0,Moderate,Moderate,Evaluation of alternatives,Coworker,Save time,2.0,2.0,55+,$40K-$74K,No,No,Ugly,ChatGPT/OpenAI,3.0,2.0
R100197,2026-05-16,ChatGPT/OpenAI,51.0,25-34,Small Business Owner,Contract,Master's degree,51000.0,$50k-$74k,Yellow,South,Rural,4.0,Personal finance,Research,translate this message into spanish but keep it casual.,"It is helpful, but I do not trust it for important decisions.",,Laptop,Paid individual,Daily,14.0,Very low,,Evaluation of alternatives,Podcast,Be more creative,1.0,2.0,45-54,$40K-$74K,Yes,No,,ChatGPT/OpenAI,1.0,
R100198,2026-04-06,ChatGPT/OpenAI,64.0,55-64,Software Developer,Part-time,High school,81000.0,$75k-$99k,emerald,Midwest,Suburban,4.0,Creating lesson plans,Marketing content,Suggest questions to ask before buying a used car.,It depends on the task.,Neutral,Laptop,Trial,Rarely,0.0,Moderate,Low,Problem recognition,Search engine,Be more creative,5.0,3.0,55+,$75K-$99K,No,No,Neutral,ChatGPT/OpenAI,3.0,1.0
R100199,2026-02-22,ChatGPT/OpenAI,29.0,25-34,Researcher,Full-time,Bachelor's degree,82000.0,$75k-$99k,Green,South,Suburban,2.0,Scheduling,Research,  Write a bedtime story about a robot dog.   ,I have not used it enough to decide.,Neutral,Smartphone,Free,Daily,9.0,Moderate,Moderate,Problem recognition,Employer,,5.0,3.0,25-34,$75K-$99K,No,No,Neutral,ChatGPT/OpenAI,3.0,2.0
R100200,2026-05-24,Claude,37.0,35-44,Freelancer,Full-time,Master's degree,102000.0,$100k-$149k,Teal,Northeast,Urban,7.0,Summarizing articles,Shopping decisions,Make my resume sound more confident.,It repeats the same advice over and over.,Negative,Laptop,Paid individual,Monthly,5.0,Low,,Information search,Podcast,free trial,0.0,2.0,35-44,$100K-$149K,No,No,Negative,Claude,2.0,
R100201,2026-02-22,Claude,18.0,18-24,Marketer,Contract,Trade/Certificate,68000.0,$50k-$74k,Black,Midwest,Urban,2.0,Summarizing articles,Customer support,Draft a customer service reply to an angry customer., It helped me organize my thoughts when I was stuck. ,Positive,Desktop,Paid work/school,Multiple times daily,9.0,Low,Moderate,Purchase decision,Search engine,Automate routine work,5.0,4.0,18-24,$40K-$74K,Yes,No,Positive,Claude,2.0,2.0
R100202,"May 25, 2026",Claude,34.0,,K-12 Teacher,Freelance,Master's degree,155000.0,$150k+,Gray,South,Suburban,2.0,Creating lesson plans,Entertainment,Draft a customer service reply to an angry customer.,The response felt robotic and missed the point.,Negative,Work computer,Paid individual,A few times a week,34.0,Low,Moderate,Evaluation of alternatives,Coworker,Make better decisions,0.0,1.0,25-34,$150K+,Yes,No,Negative,Claude,2.0,2.0
R100203,2026-05-12,Claude,30.0,25-34,Software Developer,Unemployed,Bachelor's degree,112000.0,$100k-$149k,Black,Northeast,Urban,4.0,Summarizing articles ,Career planning,  Make this spreadsheet easier to understand.   ,surprisingly helpful; the answer was clear and easy to use.,Positive,Laptop,Free,Weekly,0.0,High,Moderate,Purchase decision,Professor/teacher,Make better decisions,10.0,5.0,25-34,$100K-$149K,No,No,Positive,Claude,4.0,2.0
R100204,"May 23, 2026",Claude,45.0,45-54,Software Developer,Self-employed,Master's degree,149000.0,$100k-$149k,Purple,South,Urban,5.0,Budget planning,Financial planning,Explain this legal clause like I'm not a lawyer.,"It is helpful, but I do not trust it for important decisions.",Negative,Laptop,Free,A few times a week,0.0,High,High,Postpurchase behavior,News article,,5.0,3.0,45-54,$100K-$149K,No,No,Negative,Claude,4.0,3.0
R100205,"May 30, 2026",Claude,68.0,65+,Nurse,Self-employed,Bachelor's degree,78000.0,$75k-$99k,Green,Midwest,Urban,2.0,Customer service replies,Productivity,debug this python error and explain what happened.,"it helps me start, but i finish the work myself.",Mixed,Laptop,Paid individual,Multiple times daily,27.0,Moderate,Moderate,Problem recognition,Friend/family,Compare options,7.0,4.0,55+,$75K-$99K,Yes,No,Mixed,Claude,3.0,2.0
R100206,2026-05-25,Claude,39.0,35-44,UX Designer,Student,Bachelor's degree,124000.0,$100k-$149k,Purple,South,Urban,1.0,Meal planning,Entertainment,Make my resume sound more confident.,It repeats the same advice over and over.,Negative,Laptop,Paid individual,Weekly,15.0,High,Moderate,Postpurchase behavior,Professor/teacher,Make better decisions,4.0,3.0,35-44,$100K-$149K,No,No,Negative,Claude,4.0,2.0
R100207,2026-04-03,Claude,63.0,55-64,Financial Analyst,Full-time,Bachelor's degree,84000.0,$75k-$99k,Teal,Northeast,Suburban,1.0,Translation,Education,Draft a customer service reply to an angry customer.,the output is decent if i ask the question the right way.,Mixed,Smartphone,Free,A few times a week,15.0,Low,High,Evaluation of alternatives,Social media,Improve writing,1.0,2.0,55+,$75K-$99K,No,No,Mixed,Claude,2.0,3.0
R100208,2026-02-01,Claude,54.0,45-54,Student,Full-time,Bachelor's degree,48000.0,$25k-$49k,BLACK,South,Suburban,2.0,Studying,Career planning,Summarize this article in plain English.,"I use it every week, but I do not fully trust it.",Mixed,Laptop,Paid individual,A few times a week,14.0,High,Low,Information search,Coworker,Automate routine work,6.0,4.0,45-54,$40K-$74K,Yes,No,Mixed,Claude,4.0,1.0
R100209,"Mar 10, 2026",Claude,26.0,25-34,Sales Associate,Part-time,Bachelor's degree,64000.0,$50-74k,Purple,South,Urban,1.0,Translation,Research,,"good for speed, bad for accuracy.",Neutral,Laptop,Free,Weekly,0.0,Moderate,,Evaluation of alternatives,Social media,Be more creative,4.0,3.0,25-34,$40K-$74K,No,No,Neutral,Claude,3.0,
R100210,Spring 2026,Claude,26.0,25-34,Nurse,Full-time,Trade/Certificate,65000.0,$50k-$74k,purple,West,Suburban,3.0,Translation,Financial planning,make a study guide for my marketing exam.,"It is worth trying, but not worth paying for yet!!!",Mixed,Laptop,Paid individual,Daily,22.0,Moderate,Low,Postpurchase behavior,YouTube,Compare options,5.0,3.0,25-34,$40K-$74K,Yes,No,Mixed,Claude,3.0,1.0
R100211,2026-04-03,Claude,,18-24,Freelancer,,High school,9000.0,<$25k,Gray,West,Rural,2.0,Travel planning,Customer support,debug this python error and explain what happened.,I worry about where my personal data goes.,Negative,Smartphone,Free,,,Moderate,Extreme,Problem recognition,Employer,write better,4.0,2.0,Unknown,Under $40K,No,No,Negative,Claude,3.0,4.0
R100212,"Mar 18, 2026",Claude,,35-44,Financial Analyst,Self-employed,Master's degree,92000.0,$75k-$99k,Gray,South,Urban,2.0,Creating lesson plans,Productivity,FIND PATTERNS IN THIS SURVEY DATA.,it helped me organize my thoughts when i was stuck.,Positive,Desktop,Paid individual,Daily,25.0,High,,Information search,Coworker,,7.0,4.0,Unknown,$75K-$99K,Yes,No,Positive,Claude,4.0,
R100213,2026-05-16,Claude,19.0,35-44,Journalist,Contract,Some college,27000.0,$25k-$49k,Lavender,Midwest,Urban,3.0,Coding,Customer support,Brainstorm TikTok captions for a new product launch.,The answer sounded smart but was totally made up.,Ugly,Smartphone,Not sure,Daily,0.0,Moderate,Moderate,Purchase decision,Friend/family,Learn faster,3.0,2.0,18-24,Under $40K,No,No,Ugly,Claude,3.0,2.0
R100214,04/25/2026,Claude,22.0,18-24,Construction Manager,Full-time,High school,27000.0,$25k-$49k,Orange,South,Rural,2.0,Translation,Productivity,Make this spreadsheet easier to understand., The suggestions felt practical and not too generic. ,Positive,Tablet,Free,Daily,18.0,High,Moderate,Purchase decision,Friend/family,Have fun,10.0,5.0,18-24,Under $40K,No,No,Positive,Claude,4.0,2.0
R100215,2026-04-20,Claude,44.0,35-44,Product Manager,Part-time,Some college,124000.0,$100k-$149k,BLUE,South,Urban,3.0,Researching products,Education,"What should I cook with chicken, rice, and spinach?","the tool is impressive, but i still need a human review.",Mixed,Smartphone,Paid work/school,Rarely,3.0,High,Low,Evaluation of alternatives,Friend/family,Be more creative,10.0,4.0,35-44,$100K-$149K,No,No,Mixed,Claude,4.0,1.0
R100216,2026-03-03,Claude,43.0,35-44,Consultant,Full-time,High school,106000.0,Prefer not to say,Green,Midwest,Urban,3.0,Brainstorming content,Productivity,Write a polite email asking for more time on a project.,The response felt robotic and missed the point.,Negative,Desktop,Free,Daily,10.0,High,Extreme,Postpurchase behavior,News article,Improve writing,4.0,3.0,35-44,$100K-$149K,No,No,Negative,Claude,4.0,4.0
R100217,2026-04-28,Claude,57.0,55-64,designer,Full-time,Master's degree,81000.0,$75k-$99k,Orange,International,Suburban,0.0,Writing emails,Shopping decisions,Write a polite email asking for more time on a project.,It is becoming part of my daily workflow.,Positive,Smartphone,Paid individual,Weekly,23.0,Very high,,Postpurchase behavior,Professor/teacher,Compare options,10.0,5.0,55+,$75K-$99K,No,No,Positive,Claude,5.0,
R100218,05/23/2026,Claude,41.0,35-44,K-12 Teacher,Full-time,Bachelor's degree,84000.0,$75k-$99k,White,Northeast,Urban,3.0,personal finance,Research,Make this spreadsheet easier to understand.,The hallucinations make it dangerous for beginners.,Ugly,Smartphone,Free,A few times a week,9.0,Moderate,High,Postpurchase behavior,Ad,,0.0,1.0,35-44,$75K-$99K,No,No,Ugly,Claude,3.0,3.0
R100219,2026-05-19,Claude,39.0,35-44,Researcher,Retired,Bachelor's degree,64000.0,$50k-$74k,RED,West,Suburban,2.0,Presentation design,Research,"What should I cook with chicken, rice, and spinach?",I need more examples before I judge it.,Neutral,Laptop,Paid work/school,Daily,72.0,High,,Problem recognition,Search engine,Automate routine work,10.0,5.0,35-44,$40K-$74K,Yes,No,Neutral,Claude,4.0,
R100220,03/03/2026,Claude,41.0,35-44,Lawyer,Full-time,Bachelor's degree,,$75k-$99k,Pink,West,Rural,1.0,Translation,Coding,Translate this message into Spanish but keep it casual.,It misunderstood the context and wasted my time.,Negative,Work computer,,A few times a week,14.0,Moderate,High,Problem recognition,Coworker,Improve writing,1.0,2.0,35-44,Unknown,No,No,Negative,Claude,3.0,3.0
R100221,2026-02-03,Claude,37.0,35-44,Retail Manager,Freelance,Trade/Certificate,61000.0,$50k-$74k,Yellow,West,Rural,2.0,healthcare admin notes,Financial planning,Turn these notes into a presentation outline.,It saved me an hour and made the task feel manageable.,Positive,Smartphone,Free,Daily,27.0,Very high,,Evaluation of alternatives,Social media,Learn faster,10.0,5.0,35-44,$40K-$74K,No,No,Positive,Claude,5.0,
R100222,2026-04-27,Claude,56.0,55-64,HR Specialist,Full-time,Doctorate,,$75k-$99k,Pink,South,Urban,3.0,Healthcare admin notes,Research,Write a bedtime story about a robot dog.,"It helps with boring tasks, but it makes mistakes quietly.",Mixed,Laptop,,Daily,16.0,High,Moderate,Problem recognition,Podcast,be faster,9.0,4.0,55+,Unknown,No,No,Mixed,Claude,4.0,2.0
R100223,yesterday,Claude,41.0,35-44,HR Specialist,Student,Associate degree,70000.0,$50k-$74k,White,Midwest,Rural,3.0,Coding,Creative writing,Summarize this article in plain English.,It misunderstood the context and wasted my time.,Negative,Laptop,Free,Weekly,22.0,Low,Low,Evaluation of alternatives,News article,save time,3.0,2.0,35-44,$40K-$74K,No,No,Negative,Claude,2.0,1.0
R100224,2026-04-04,Claude,47.0,45-54,Retail Manager,Full-time,Master's degree,96000.0,$75k-$99k,Red,Midwest,Urban,3.0,Brainstorming content,Customer support,Debug this Python error and explain what happened.," I like it for ideas, but privacy still bothers me. ",Mixed,laptop,Free,Weekly,0.0,Very high,,Information search,Ad,Learn faster,8.0,5.0,45-54,$75K-$99K,No,No,Mixed,Claude,5.0,
R100225,"May 29, 2026",Claude,43.0,18-24,Financial Analyst,Freelance,Bachelor's degree,57000.0,$50k-$74k,Black,South,Suburban,2.0,personal finance ,Personal organization,Find patterns in this survey data.,"It helps me start, but I finish the work myself.",Mixed,Laptop,Paid individual,Daily,18.0,Moderate,High,Evaluation of alternatives,Social media,write better,6.0,3.0,35-44,$40K-$74K,Yes,No,Mixed,Claude,3.0,3.0
R100226,2026-04-09,Claude,20.0,18-24,Retail Manager,Full-time,Bachelor's degree,36000.0,$25k-$49k,Red,South,Rural,1.0,Presentation design,Productivity,Make this spreadsheet easier to understand.,The output is decent if I ask the question the right way.,Mixed,Laptop,Trial,Weekly,5.0,Moderate,Extreme,Postpurchase behavior,News article,Automate routine work,6.0,3.0,18-24,Under $40K,No,No,Mixed,Claude,3.0,4.0
R100227,2026-04-26,Claude,33.0,25-34,Customer Support Rep,Self-employed,Master's degree,49000.0,$25k-$49k,grey,West,Rural,3.0,Job applications,Creative writing,Find patterns in this survey data.,"Useful for drafts, but I would never send the first version.",Mixed,Laptop,Free,A few times a week,15.0,High,Low,Purchase decision,News article,Have fun,10.0,5.0,25-34,$40K-$74K,No,No,Mixed,Claude,4.0,1.0
R100228,06-05-2026,Claude,48.0,45-54,Freelancer,Contract,Master's degree,42000.0,$25k-$49k,Purple,Midwest,Urban,4.0,Creating lesson plans,Entertainment,Turn these notes into a presentation outline.,"Useful for drafts, but I would never send the first version.",Mixed,Laptop,Paid individual,Weekly,8.0,Moderate,Low,Information search,Coworker,be faster,10.0,4.0,45-54,$40K-$74K,No,No,Mixed,Claude,3.0,1.0
R100229,03/26/2026,Claude,48.0,45-54,Software Developer,Retired,Bachelor's degree,105000.0,$100k-$149k,Pink,Northeast,Rural,2.0,Personal finance,Marketing content,make my resume sound more confident.,It saved me an hour and made the task feel manageable.,Positive,Laptop,Free,Rarely,9.0,Very low,Moderate,Evaluation of alternatives,Ad,Compare options,10.0,5.0,45-54,$100K-$149K,No,No,Positive,Claude,1.0,2.0
R100230,2026-02-24,Claude,36.0,35-44,Graphic Designer,Part-time,Master's degree,113000.0,$100k-$149k,white,Midwest,Rural,1.0,Meal planning,Creative writing,Make my resume sound more confident.,The experience was average.,Neutral,Smartphone,Free,Multiple times daily,15.0,High,Low,Information search,Podcast,Automate routine work,8.0,5.0,35-44,$100K-$149K,No,No,Neutral,Claude,4.0,1.0
R100231,02/17/2026,Claude,26.0,25-34,Retail Manager,Student,Bachelor's degree,42000.0,$25k-$49k,BLACK,South,Suburban,3.0,Researching products,Shopping decisions,Draft a customer service reply to an angry customer.,It wrote something that sounded human but had no substance.,Ugly,Smartphone,Free,Multiple times daily,94.0,Low,,Postpurchase behavior,Search engine,Make better decisions,1.0,1.0,25-34,$40K-$74K,No,No,Ugly,Claude,2.0,
R100232,2026-05-02,Claude,21.0,18-24,Data Analyst,Full-time,Master's degree,130000.0,$100k-$149k,Orange,Northeast,Urban,1.0,Researching products,Research,Find patterns in this survey data.,I like how fast it gives me a first draft.,Positive,Laptop,Trial,A few times a week,0.0,High,Moderate,Evaluation of alternatives,News article,Be more creative,10.0,5.0,18-24,$100K-$149K,No,No,Positive,Claude,4.0,2.0
R100233,"Feb 10, 2026",Claude,50.0,45-54,Physician Assistant,Full-time,Trade/Certificate,69000.0,$50k-$74k,Gray,South,Suburban,3.0,Data analysis,Creative writing,Summarize this article in plain English., I stopped using it after it made a mistake at work. ,Negative,Smartphone,Paid individual,Daily,,High,Extreme,Problem recognition,YouTube,Learn faster,8.0,4.0,45-54,$40K-$74K,Yes,No,Negative,Claude,4.0,4.0
R100234,04/24/2026,Claude,29.0,25-34,Freelancer,Contract,Some college,59000.0,$50k-$74k,White,South,Rural,1.0,Summarizing articles,Education,Make a study guide for my marketing exam.,The tone options are actually really useful.,Positive,Smartphone,Free,Weekly,0.0,Very high,High,Postpurchase behavior,Professor/teacher,Be more creative,9.0,5.0,25-34,$40K-$74K,No,No,Positive,Claude,5.0,3.0
R100235,2026-05-05,Claude,30.0,55-64,Freelancer,Full-time,Bachelor's degree,13000.0,<$25k,Yellow,West,Suburban,3.0,Brainstorming content,Research,Compare three laptops for a college student under $900., It was too generic and I still had to rewrite everything. ,Negative,Laptop,Free,Daily,7.0,High,Moderate,Problem recognition,Employer,Automate routine work,2.0,3.0,25-34,Under $40K,No,No,Negative,Claude,4.0,2.0
R100236,2026-04-22,Claude,82.0,65+,Consultant,Full-time,Bachelor's degree,109000.0,$100k-$149k,purple,International,Urban,3.0,Travel planning,Customer support,Compare three laptops for a college student under $900.,IT MADE MY WORK LOOK MORE POLISHED.,Positive,Laptop,Trial,Multiple times daily,22.0,High,Moderate,Problem recognition,Podcast,Reduce stress,9.0,5.0,55+,$100K-$149K,No,No,Positive,Claude,4.0,2.0
R100237,05/11/2026,Claude,35.0,35-44,Teacher,Retired,High school,74000.0,$50k-$74k,Blue,Northeast,Urban,1.0,Presentation design,Marketing content,Suggest questions to ask before buying a used car.,"It is helpful, but I do not trust it for important decisions.",Negative,Laptop,Paid individual,Monthly,3.0,Low,Extreme,Purchase decision,Social media,less stress,0.0,1.0,35-44,$40K-$74K,No,No,Negative,Claude,2.0,4.0
R100238,05/09/2026,Claude,23.0,18-24,Teacher,Full-time,Bachelor's degree,106000.0,$100k-$149k,Orange,Northeast,Urban,3.0,Data analysis,Customer support,Give me ideas for a weekend trip.,"The tool is impressive, but I still need a human review.",Mixed,Smartphone,Free,Monthly,5.0,High,Moderate,Purchase decision,Professor/teacher,Make better decisions,8.0,4.0,18-24,$100K-$149K,No,No,Mixed,Claude,4.0,2.0
R100239,2026-03-18,Claude,46.0,65+,Chef,Contract,Master's degree,125000.0,$100k-$149k,Black,South,Urban,,Creating lesson plans,Entertainment,Can you check if this source is credible?,The experience was average.,Neutral,Smartphone,Free,Weekly,4.0,Moderate,High,Evaluation of alternatives,News article,Make better decisions,1.0,2.0,45-54,$100K-$149K,No,No,Neutral,Claude,3.0,3.0
R100240,2026-05-21,Claude,46.0,45-54,student,,Some college,65000.0,$50k-$74k,Purple,West,Rural,2.0,Coding,Productivity,Summarize this article in plain English.,,Ugly,Laptop,Trial,Tried once,2.0,Moderate,Moderate,Information search,Professor/teacher,Make better decisions,2.0,2.0,45-54,$40K-$74K,No,No,Ugly,Claude,3.0,2.0
R100241,04/22/2026,Claude,59.0,55-64,Sales Associate,Part-time,Bachelor's degree,81000.0,$75k-$99k,Black,Northeast,Suburban,1.0,Summarizing articles,Career planning,Turn these notes into a presentation outline.,I feel like companies are pushing this before it is ready.,Ugly,Laptop,Free,Weekly,8.0,Moderate,Extreme,Information search,Social media,Make better decisions,1.0,1.0,55+,$75K-$99K,No,No,Ugly,Claude,3.0,4.0
R100242,2026-04-24,Claude,41.0,35-44,Teacher,Part-time,High school,50000.0,$50k-$74k,grey,South,rural,3.0,Translation,Productivity,Make my resume sound more confident.,It confidently lied and almost caused a serious mistake.,,Smartphone,Paid individual,A few times a week,9.0,Moderate,High,Evaluation of alternatives,Social media,Have fun,0.0,1.0,35-44,$40K-$74K,Yes,No,,Claude,3.0,3.0
R100243,2026-05-21,Claude,19.0,18-24,Accountant,Student,Bachelor's degree,75000.0,$75k-$99k,Yellow,Northeast,Urban,1.0,Healthcare admin notes ,Creative writing,SUGGEST QUESTIONS TO ASK BEFORE BUYING A USED CAR.,"It gave me fake citations, which is a big problem.",Negative,Laptop,Paid work/school,A few times a week,29.0,Low,Moderate,Postpurchase behavior,News article,Reduce stress,4.0,2.0,18-24,$75K-$99K,Yes,No,Negative,Claude,2.0,2.0
R100244,2026-03-18,Claude,,35-44,Consultant,Student,Some college,101000.0,$100k-$149k,Black,Northeast,Rural,6.0,Customer service replies,Coding,Turn these notes into a presentation outline.,IT IS ANOTHER TOOL IN THE TOOLBOX.,Neutral,Laptop,Paid individual,Daily,7.0,Low,Moderate,,YouTube,Be more creative,3.0,2.0,Unknown,$100K-$149K,Yes,No,Neutral,Claude,2.0,2.0
R100245,2026-03-26,Claude,38.0,35-44,UX Designer,Full-time,Associate degree,78000.0,$75k-$99k,Teal,,Urban,3.0,personal finance,Productivity,Make a study guide for my marketing exam.,"Great assistant, terrible source checker.",Mixed,Smartphone,,Multiple times daily,15.0,High,Extreme,Postpurchase behavior,Friend/family,Have fun,6.0,3.0,35-44,$75K-$99K,No,No,Mixed,Claude,4.0,4.0
R100246,2026-02-11,Claude,30.0,25-34,Freelancer,Self-employed,Master's degree,42000.0,$25k-$49k,Teal,Northeast,Urban,4.0,Social media captions,Creative writing,Write a bedtime story about a robot dog.,The suggestions felt practical and not too generic.,Positive,Smartphone,Free,Multiple times daily,8.0,Moderate,Moderate,Information search,Ad,Make better decisions,8.0,5.0,25-34,$40K-$74K,No,No,Positive,Claude,3.0,2.0
R100247,05/17/2026,Claude,91.0,45-54,Customer Support Rep,Freelance,Bachelor's degree,60000.0,$50k-$74k,Orange,Northeast,Urban,2.0,Meal planning,Financial planning,Translate this message into Spanish but keep it casual.,"The tool is impressive, but I still need a human review.",Mixed,Laptop,Trial,,9.0,,Moderate,Evaluation of alternatives,Social media,Be more creative,2.0,3.0,55+,$40K-$74K,No,No,Mixed,Claude,,2.0
R100248,,Claude,39.0,35-44,UX Designer,Part-time,Bachelor's degree,101000.0,$100k-$149k,Pink,West,Suburban,2.0,Legal research,Shopping decisions,Write a bedtime story about a robot dog.,"It helps me start, but I finish the work myself.",Mixed,Laptop,,Daily,0.0,Moderate,Moderate,Evaluation of alternatives,Social media,Automate routine work,10.0,4.0,35-44,$100K-$149K,No,No,Mixed,Claude,3.0,2.0
R100250,2026-02-19,Claude,49.0,45-54,Construction Manager,Freelance,High school,112000.0,$100k-$149k,Black,Northeast,Rural,5.0,Budget planning,Personal organization,Suggest questions to ask before buying a used car.,I have not used it enough to decide.,Neutral,Desktop,Paid individual,A few times a week,41.0,Moderate,High,Information search,Professor/teacher,Learn faster,6.0,3.0,45-54,$100K-$149K,Yes,No,Neutral,Claude,3.0,3.0
R100251,2026-05-15,Claude,30.0,25-34,Software Developer,Full-time,Doctorate,144000.0,$100k-$149k,Black,Northeast,Rural,3.0,Creating lesson plans,Research,Turn these notes into a presentation outline.,The hallucinations make it dangerous for beginners.,Ugly,Laptop,Paid work/school,Daily,14.0,Low,High,Evaluation of alternatives,Professor/teacher,Save time,0.0,1.0,25-34,$100K-$149K,Yes,No,Ugly,Claude,2.0,3.0
R100252,,Claude,37.0,35-44,Construction Manager,Freelance,Bachelor's degree,75000.0,$75k-$99k,emerald,International,Suburban,6.0,legal research,Customer support,Turn these notes into a presentation outline.,I like how fast it gives me a first draft.,Positive,Laptop,Trial,Weekly,9.0,High,,Information search,Podcast,Be more creative,10.0,5.0,35-44,$75K-$99K,No,No,Positive,Claude,4.0,
R100253,2026-04-26,Claude,27.0,18-24,Chef,Full-time,Associate degree,101000.0,$100k-$149k,Gray,International,Suburban,2.0,Coding,Personal organization,make a study guide for my marketing exam., The response felt robotic and missed the point. ,Negative,,Free,Tried once,0.0,Very low,Low,Problem recognition,Podcast,Compare options,0.0,1.0,25-34,$100K-$149K,No,No,Negative,Claude,1.0,1.0
R100254,24-04-2026,Claude,39.0,35-44,Retail Manager,Part-time,Some college,108000.0,$100k-$149k,Teal,Northeast,Suburban,2.0,Creating lesson plans,Research,turn these notes into a presentation outline., I trust it for simple tasks and summaries. ,Positive,Desktop,Free,A few times a week,4.0,Very low,Low,Evaluation of alternatives,Friend/family,Improve writing,2.0,2.0,35-44,$100K-$149K,No,No,Positive,Claude,1.0,1.0
R100255,2026-05-07,Claude,53.0,45-54,HR Specialist,Self-employed,Some college,48000.0,$25k-$49k,Yellow,Midwest,Suburban,3.0,Creating lesson plans,Shopping decisions,Give me ideas for a weekend trip.,It misunderstood the context and wasted my time.,Negative,Laptop,Not sure,A few times a week,0.0,Very low,Moderate,Information search,Social media,Have fun,0.0,,45-54,$40K-$74K,No,No,Negative,Claude,1.0,2.0
R100256,2026-04-26,Claude,36.0,45-54,Nonprofit Coordinator,Contract,Master's degree,111000.0,$100k-$149k,Red,South,Suburban,4.0,Budget planning,Education,Translate this message into Spanish but keep it casual.,"It gave me fake citations, which is a big problem.",Negative,Laptop,Paid work/school,Daily,,Moderate,Low,Purchase decision,Podcast,Learn faster,0.0,1.0,35-44,$100K-$149K,Yes,No,Negative,Claude,3.0,1.0
R100257,2026-05-07,Claude,22.0,18-24,Teacher,Freelance,Some college,13000.0,<$25k,Green,South,,2.0,Writing emails,Productivity,Translate this message into Spanish but keep it casual.,It was too generic and I still had to rewrite everything.,Negative,Smartphone,Paid individual,Multiple times daily,0.0,Moderate,Extreme,Information search,,Learn faster,,1.0,18-24,Under $40K,Yes,No,Negative,Claude,3.0,4.0
R100258,2026-03-23,Claude,47.0,45-54,Graphic Designer,Student,Some college,135000.0,$100k-$149k,Orange,West,Urban,1.0,Researching products,Coding,Find patterns in this survey data.,The output is decent if I ask the question the right way.,Mixed,Smartphone,Trial,Daily,42.0,Moderate,Moderate,Purchase decision,Ad,Learn faster,4.0,3.0,45-54,$100K-$149K,No,No,Mixed,Claude,3.0,2.0
R100259,04/29/2026,Claude,39.0,35-44,Product Manager,Full-time,High school,78000.0,$75k-$99k,Purple,South,Urban,6.0,Travel planning,Productivity,  Summarize this article in plain English.   ,The answer sounded smart but was totally made up.,Ugly,Laptop,Free,Multiple times daily,6.0,High,Extreme,Problem recognition,Search engine,Improve writing,7.0,,35-44,$75K-$99K,No,No,Ugly,Claude,4.0,4.0
R100260,"Mar 20, 2026",Claude,42.0,35-44,Engineer,,Bachelor's degree,103000.0,$100k-$149k,Orange,,Suburban,2.0,Legal research,Productivity,Find patterns in this survey data.,I am still learning what it can do.,Neutral,Laptop,Paid individual,Daily,,High,Low,Problem recognition,Social media,be faster,8.0,4.0,35-44,$100K-$149K,Yes,No,Neutral,Claude,4.0,1.0
